,,,Shipping Country,Values,,,,,,,,,,,,,,,,,,,,
,,,Australia,,Brazil,,Canada,,France,,Germany,,India,,Japan,,UAE,,United Kingdom,,USA,,Grand Total,
Customer ID,Payment Method,Marketing Channel,Total Purchase, Total Amount,Total Purchase, Total Amount,Total Purchase, Total Amount,Total Purchase, Total Amount,Total Purchase, Total Amount,Total Purchase, Total Amount,Total Purchase, Total Amount,Total Purchase, Total Amount,Total Purchase, Total Amount,Total Purchase, Total Amount,Total Purchase, Total Amount
CUST1003,Debit Card,Direct,,,1,$786.30,,,,,,,,,,,,,,,,,1,$786.30
,Debit Card Total,,,,1,$786.30,,,,,,,,,,,,,,,,,1,$786.30
CUST1003 Total,,,,,1,$786.30,,,,,,,,,,,,,,,,,1,$786.30
CUST1007,Bank Transfer,Direct,,,,,,,,,,,1,$110.72,,,,,,,,,1,$110.72
,Bank Transfer Total,,,,,,,,,,,,1,$110.72,,,,,,,,,1,$110.72
CUST1007 Total,,,,,,,,,,,,,1,$110.72,,,,,,,,,1,$110.72
CUST1012,Cash on Delivery,Affiliate,,,1,$24.36,,,,,,,,,,,,,,,,,1,$24.36
,Cash on Delivery Total,,,,1,$24.36,,,,,,,,,,,,,,,,,1,$24.36
CUST1012 Total,,,,,1,$24.36,,,,,,,,,,,,,,,,,1,$24.36
CUST1014,Bank Transfer,Affiliate,,,,,,,,,1,$124.24,,,,,,,,,,,1,$124.24
,Bank Transfer Total,,,,,,,,,,1,$124.24,,,,,,,,,,,1,$124.24
CUST1014 Total,,,,,,,,,,,1,$124.24,,,,,,,,,,,1,$124.24
CUST1021,Apple Pay,Organic Search,1,"$1,622.50",,,,,,,,,,,,,,,,,,,1,"$1,622.50"
,Apple Pay Total,,1,"$1,622.50",,,,,,,,,,,,,,,,,,,1,"$1,622.50"
CUST1021 Total,,,1,"$1,622.50",,,,,,,,,,,,,,,,,,,1,"$1,622.50"
CUST1031,Cash on Delivery,Referral,,,,,,,,,,,,,,,,,1,$204.56,,,1,$204.56
,Cash on Delivery Total,,,,,,,,,,,,,,,,,,1,$204.56,,,1,$204.56
CUST1031 Total,,,,,,,,,,,,,,,,,,,1,$204.56,,,1,$204.56
CUST1032,Cash on Delivery,Paid Social,,,1,$253.23,,,,,,,,,,,,,,,,,1,$253.23
,Cash on Delivery Total,,,,1,$253.23,,,,,,,,,,,,,,,,,1,$253.23
CUST1032 Total,,,,,1,$253.23,,,,,,,,,,,,,,,,,1,$253.23
CUST1034,PayPal,Affiliate,1,$34.29,,,,,,,,,,,,,,,,,,,1,$34.29
,PayPal Total,,1,$34.29,,,,,,,,,,,,,,,,,,,1,$34.29
CUST1034 Total,,,1,$34.29,,,,,,,,,,,,,,,,,,,1,$34.29
CUST1040,Bank Transfer,Paid Social,,,,,,,,,,,,,,,1,$297.40,,,,,1,$297.40
,Bank Transfer Total,,,,,,,,,,,,,,,,1,$297.40,,,,,1,$297.40
,Credit Card,Paid Search,1,$377.88,,,,,,,,,,,,,,,,,,,1,$377.88
,Credit Card Total,,1,$377.88,,,,,,,,,,,,,,,,,,,1,$377.88
CUST1040 Total,,,1,$377.88,,,,,,,,,,,,,1,$297.40,,,,,2,$675.28
CUST1045,Cash on Delivery,Email Campaign,,,,,,,,,,,1,$40.95,,,,,,,,,1,$40.95
,Cash on Delivery Total,,,,,,,,,,,,1,$40.95,,,,,,,,,1,$40.95
CUST1045 Total,,,,,,,,,,,,,1,$40.95,,,,,,,,,1,$40.95
CUST1052,Bank Transfer,Paid Social,,,,,,,,,,,1,$559.90,,,,,,,,,1,$559.90
,Bank Transfer Total,,,,,,,,,,,,1,$559.90,,,,,,,,,1,$559.90
CUST1052 Total,,,,,,,,,,,,,1,$559.90,,,,,,,,,1,$559.90
CUST1056,Debit Card,Email Campaign,,,,,,,,,1,$61.24,,,,,,,,,,,1,$61.24
,Debit Card Total,,,,,,,,,,1,$61.24,,,,,,,,,,,1,$61.24
CUST1056 Total,,,,,,,,,,,1,$61.24,,,,,,,,,,,1,$61.24
CUST1057,Credit Card,Email Campaign,,,,,,,,,,,,,,,,,,,1,$227.64,1,$227.64
,Credit Card Total,,,,,,,,,,,,,,,,,,,,1,$227.64,1,$227.64
,Debit Card,Referral,,,,,,,,,,,,,1,$39.98,,,,,,,1,$39.98
,Debit Card Total,,,,,,,,,,,,,,1,$39.98,,,,,,,1,$39.98
CUST1057 Total,,,,,,,,,,,,,,,1,$39.98,,,,,1,$227.64,2,$267.62
CUST1062,Bank Transfer,Paid Social,,,,,,,,,,,,,1,$430.64,,,,,,,1,$430.64
,Bank Transfer Total,,,,,,,,,,,,,,1,$430.64,,,,,,,1,$430.64
CUST1062 Total,,,,,,,,,,,,,,,1,$430.64,,,,,,,1,$430.64
CUST1070,Bank Transfer,Email Campaign,,,,,1,$275.16,,,,,,,,,,,,,,,1,$275.16
,Bank Transfer Total,,,,,,1,$275.16,,,,,,,,,,,,,,,1,$275.16
,Debit Card,Direct,,,,,,,,,,,,,,,,,,,1,"$1,834.74",1,"$1,834.74"
,Debit Card Total,,,,,,,,,,,,,,,,,,,,1,"$1,834.74",1,"$1,834.74"
CUST1070 Total,,,,,,,1,$275.16,,,,,,,,,,,,,1,"$1,834.74",2,"$2,109.90"
CUST1072,Bank Transfer,Referral,,,,,,,,,,,1,$501.18,,,,,,,,,1,$501.18
,Bank Transfer Total,,,,,,,,,,,,1,$501.18,,,,,,,,,1,$501.18
CUST1072 Total,,,,,,,,,,,,,1,$501.18,,,,,,,,,1,$501.18
CUST1078,Apple Pay,Direct,,,1,$490.15,,,,,,,,,,,,,,,,,1,$490.15
,Apple Pay Total,,,,1,$490.15,,,,,,,,,,,,,,,,,1,$490.15
CUST1078 Total,,,,,1,$490.15,,,,,,,,,,,,,,,,,1,$490.15
